"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.total_protein_need_gram4","4.1e+06","6.5e+06","7.0e+06","7.8e+06","8.9e+06","1.0e+07","1.1e+07","1.2e+07","1.3e+07","8.9e+06","0","0","1"
"y.carb_need_gram_male","3.3e+07","6.9e+07","7.8e+07","9.3e+07","1.1e+08","1.2e+08","1.4e+08","1.5e+08","2.1e+08","1.1e+08","0","0","1"
"y.carb_need_gram_female","1.9e+07","3.4e+07","3.9e+07","4.7e+07","5.5e+07","6.4e+07","7.2e+07","7.7e+07","9.4e+07","5.5e+07","0","0","1"
"y.total_carb_need_gram","7.3e+07","1.2e+08","1.3e+08","1.5e+08","1.6e+08","1.8e+08","2.0e+08","2.1e+08","2.7e+08","1.6e+08","0","0","1"
"y.total_carb_need_gram1","2.0e+07","3.1e+07","3.4e+07","3.9e+07","4.4e+07","4.9e+07","5.5e+07","5.8e+07","7.4e+07","4.4e+07","0","0","1"
"y.total_carb_need_gram2","1.8e+07","2.8e+07","3.1e+07","3.6e+07","4.0e+07","4.4e+07","4.9e+07","5.1e+07","6.4e+07","4.0e+07","0","0","1"
"y.total_carb_need_gram3","1.8e+07","2.8e+07","3.1e+07","3.5e+07","4.0e+07","4.4e+07","4.9e+07","5.1e+07","6.4e+07","4.0e+07","0","0","1"
"y.total_carb_need_gram4","1.8e+07","2.8e+07","3.1e+07","3.5e+07","4.0e+07","4.4e+07","4.9e+07","5.1e+07","6.4e+07","4.0e+07","0","0","1"
"y.fat_need_gram_male","6.3e+06","1.3e+07","1.5e+07","1.7e+07","2.1e+07","2.5e+07","2.8e+07","3.1e+07","4.4e+07","2.1e+07","0","0","1"
"y.fat_need_gram_female","3.3e+06","6.7e+06","7.6e+06","8.9e+06","1.1e+07","1.3e+07","1.4e+07","1.5e+07","2.1e+07","1.1e+07","0","0","1"
"y.total_fat_need_gram","1.7e+07","2.2e+07","2.4e+07","2.7e+07","3.2e+07","3.6e+07","4.1e+07","4.3e+07","6.4e+07","3.2e+07","0","0","1"
"y.total_fat_need_gram1","4.4e+06","6.1e+06","6.4e+06","7.4e+06","8.7e+06","9.9e+06","1.1e+07","1.2e+07","1.7e+07","8.7e+06","0","0","1"
"y.total_fat_need_gram2","3.9e+06","5.5e+06","5.9e+06","6.7e+06","7.7e+06","8.9e+06","9.9e+06","1.1e+07","1.6e+07","7.8e+06","0","0","1"
"y.total_fat_need_gram3","4.0e+06","5.5e+06","5.9e+06","6.7e+06","7.7e+06","8.9e+06","9.9e+06","1.0e+07","1.6e+07","7.8e+06","0","0","1"
"y.total_fat_need_gram4","3.9e+06","5.5e+06","5.9e+06","6.7e+06","7.7e+06","8.9e+06","9.9e+06","1.0e+07","1.6e+07","7.8e+06","0","0","1"
"y.fat_model_check_one","1.5e+08","2.0e+08","2.2e+08","2.5e+08","2.9e+08","3.3e+08","3.7e+08","3.9e+08","5.8e+08","2.9e+08","0","0","1"
"y.fat_model_check_two","1.4e+08","2.2e+08","2.3e+08","2.6e+08","3.0e+08","3.4e+08","3.7e+08","3.9e+08","4.8e+08","3.0e+08","0","0","1"
"y.target_wt_female","2.7e+01","3.9e+01","4.3e+01","4.9e+01","5.5e+01","6.2e+01","6.7e+01","7.0e+01","9.1e+01","5.5e+01","0","0","1"
"y.target_wt_male","3.2e+01","4.8e+01","5.1e+01","5.7e+01","6.3e+01","7.0e+01","7.6e+01","8.0e+01","9.3e+01","6.3e+01","0","0","1"
