"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.total_actual_sandwich_serving_all_athletes_inter_one"," 1.9e+03"," 2.1e+05","2.5e+05","3.8e+05","5.2e+05","6.6e+05","7.9e+05","8.7e+05","1.2e+06","5.2e+05","0.000","0","1.00"
"y.total_actual_sandwich_serving_all_athletes_inter_two"," 1.9e+03"," 2.1e+05","2.5e+05","3.8e+05","5.2e+05","6.6e+05","7.9e+05","8.7e+05","1.2e+06","5.2e+05","0.000","0","1.00"
"y.total_vegetable_mushroom_serving_all_athletes"," 2.9e+05"," 8.4e+05","9.3e+05","1.1e+06","1.3e+06","1.5e+06","1.6e+06","1.7e+06","2.1e+06","1.3e+06","0.000","0","1.00"
"y.total_vegetable_mushroom_serving_per_year_all_athletes1"," 7.3e+04"," 2.1e+05","2.3e+05","2.7e+05","3.2e+05","3.6e+05","4.0e+05","4.2e+05","5.2e+05","3.2e+05","0.000","0","1.00"
"y.total_vegetable_mushroom_serving_per_year_all_athletes2"," 7.3e+04"," 2.1e+05","2.3e+05","2.7e+05","3.2e+05","3.6e+05","4.0e+05","4.2e+05","5.2e+05","3.2e+05","0.000","0","1.00"
"y.total_vegetable_mushroom_serving_per_year_all_athletes3"," 7.3e+04"," 2.1e+05","2.3e+05","2.7e+05","3.2e+05","3.6e+05","4.0e+05","4.2e+05","5.2e+05","3.2e+05","0.000","0","1.00"
"y.total_vegetable_mushroom_serving_per_year_all_athletes4"," 7.3e+04"," 2.1e+05","2.3e+05","2.7e+05","3.2e+05","3.6e+05","4.0e+05","4.2e+05","5.2e+05","3.2e+05","0.000","0","1.00"
"y.total_actual_vegetable_mushroom_serving_all_athletes_inter_one"," 2.5e+05"," 6.8e+05","7.5e+05","8.7e+05","1.0e+06","1.2e+06","1.3e+06","1.4e+06","1.8e+06","1.0e+06","0.000","0","1.00"
"y.total_actual_vegetable_mushroom_serving_all_athletes_inter_two"," 2.4e+05"," 6.8e+05","7.5e+05","8.7e+05","1.0e+06","1.2e+06","1.3e+06","1.4e+06","1.8e+06","1.0e+06","0.000","0","1.00"
"y.total_bean_nut_serving_all_athletes"," 1.4e+05"," 2.7e+05","3.0e+05","3.5e+05","4.1e+05","4.6e+05","5.2e+05","5.5e+05","6.9e+05","4.1e+05","0.000","0","1.00"
"y.total_bean_nut_serving_per_year_all_athletes1"," 3.6e+04"," 6.8e+04","7.5e+04","8.8e+04","1.0e+05","1.2e+05","1.3e+05","1.4e+05","1.7e+05","1.0e+05","0.000","0","1.00"
"y.total_bean_nut_serving_per_year_all_athletes2"," 3.6e+04"," 6.8e+04","7.5e+04","8.8e+04","1.0e+05","1.2e+05","1.3e+05","1.4e+05","1.7e+05","1.0e+05","0.000","0","1.00"
"y.total_bean_nut_serving_per_year_all_athletes3"," 3.6e+04"," 6.8e+04","7.5e+04","8.8e+04","1.0e+05","1.2e+05","1.3e+05","1.4e+05","1.7e+05","1.0e+05","0.000","0","1.00"
"y.total_bean_nut_serving_per_year_all_athletes4"," 3.6e+04"," 6.8e+04","7.5e+04","8.8e+04","1.0e+05","1.2e+05","1.3e+05","1.4e+05","1.7e+05","1.0e+05","0.000","0","1.00"
"y.total_actual_bean_nut_serving_all_athletes_inter_one"," 1.1e+05"," 2.2e+05","2.4e+05","2.8e+05","3.3e+05","3.8e+05","4.2e+05","4.5e+05","5.6e+05","3.3e+05","0.000","0","1.00"
"y.total_actual_bean_nut_serving_all_athletes_inter_two"," 1.1e+05"," 2.2e+05","2.4e+05","2.8e+05","3.3e+05","3.8e+05","4.2e+05","4.5e+05","5.6e+05","3.3e+05","0.000","0","1.00"
"y.total_fruit_serving_all_athletes"," 2.7e+05"," 5.5e+05","6.0e+05","7.0e+05","8.2e+05","9.4e+05","1.0e+06","1.1e+06","1.3e+06","8.2e+05","0.000","0","1.00"
"y.total_fruit_serving_per_year_all_athletes1"," 6.7e+04"," 1.4e+05","1.5e+05","1.8e+05","2.1e+05","2.3e+05","2.6e+05","2.8e+05","3.3e+05","2.1e+05","0.000","0","1.00"
"y.total_fruit_serving_per_year_all_athletes2"," 6.7e+04"," 1.4e+05","1.5e+05","1.8e+05","2.1e+05","2.3e+05","2.6e+05","2.8e+05","3.3e+05","2.1e+05","0.000","0","1.00"
"y.total_fruit_serving_per_year_all_athletes3"," 6.7e+04"," 1.4e+05","1.5e+05","1.8e+05","2.1e+05","2.3e+05","2.6e+05","2.8e+05","3.3e+05","2.1e+05","0.000","0","1.00"
"y.total_fruit_serving_per_year_all_athletes4"," 6.7e+04"," 1.4e+05","1.5e+05","1.8e+05","2.1e+05","2.3e+05","2.6e+05","2.8e+05","3.3e+05","2.1e+05","0.000","0","1.00"
"y.total_actual_fruit_serving_all_athletes_inter_one"," 2.7e+05"," 5.5e+05","6.0e+05","7.0e+05","8.2e+05","9.4e+05","1.0e+06","1.1e+06","1.3e+06","8.2e+05","0.000","0","1.00"
"y.total_actual_fruit_serving_all_athletes_inter_two"," 2.7e+05"," 5.5e+05","6.0e+05","7.0e+05","8.2e+05","9.4e+05","1.0e+06","1.1e+06","1.3e+06","8.2e+05","0.000","0","1.00"
"y.total_sports_drink_serving_all_athletes"," 7.7e+04"," 3.4e+05","4.0e+05","5.1e+05","6.2e+05","7.4e+05","8.4e+05","9.0e+05","1.2e+06","6.3e+05","0.000","0","1.00"
"y.total_sports_drink_serving_per_year_all_athletes1"," 1.9e+04"," 8.4e+04","1.0e+05","1.3e+05","1.6e+05","1.9e+05","2.1e+05","2.3e+05","3.0e+05","1.6e+05","0.000","0","1.00"
"y.total_sports_drink_serving_per_year_all_athletes2"," 1.9e+04"," 8.4e+04","1.0e+05","1.3e+05","1.6e+05","1.9e+05","2.1e+05","2.3e+05","3.0e+05","1.6e+05","0.000","0","1.00"
"y.total_sports_drink_serving_per_year_all_athletes3"," 1.9e+04"," 8.4e+04","1.0e+05","1.3e+05","1.6e+05","1.9e+05","2.1e+05","2.3e+05","3.0e+05","1.6e+05","0.000","0","1.00"
"y.total_sports_drink_serving_per_year_all_athletes4"," 1.9e+04"," 8.4e+04","1.0e+05","1.3e+05","1.6e+05","1.9e+05","2.1e+05","2.3e+05","3.0e+05","1.6e+05","0.000","0","1.00"
"y.total_actual_sports_drink_serving_all_athletes_inter_one"," 7.7e+04"," 3.4e+05","4.0e+05","5.1e+05","6.2e+05","7.4e+05","8.4e+05","9.0e+05","1.2e+06","6.3e+05","0.000","0","1.00"
"y.total_actual_sports_drink_serving_all_athletes_inter_two"," 7.7e+04"," 3.4e+05","4.0e+05","5.1e+05","6.2e+05","7.4e+05","8.4e+05","9.0e+05","1.2e+06","6.3e+05","0.000","0","1.00"
"y.total_chicken_serving_all_athletes"," 4.3e+04"," 1.8e+05","2.1e+05","2.6e+05","3.3e+05","3.9e+05","4.4e+05","4.7e+05","6.5e+05","3.2e+05","0.000","0","1.00"
"y.total_chicken_serving_per_year_all_athletes1"," 1.1e+04"," 4.4e+04","5.3e+04","6.4e+04","8.2e+04","9.8e+04","1.1e+05","1.2e+05","1.6e+05","8.1e+04","0.000","0","1.00"
"y.total_chicken_serving_per_year_all_athletes2"," 1.1e+04"," 4.4e+04","5.3e+04","6.4e+04","8.2e+04","9.8e+04","1.1e+05","1.2e+05","1.6e+05","8.1e+04","0.000","0","1.00"
"y.total_chicken_serving_per_year_all_athletes3"," 1.1e+04"," 4.4e+04","5.3e+04","6.4e+04","8.2e+04","9.8e+04","1.1e+05","1.2e+05","1.6e+05","8.1e+04","0.000","0","1.00"
"y.total_chicken_serving_per_year_all_athletes4"," 1.1e+04"," 4.4e+04","5.3e+04","6.4e+04","8.2e+04","9.8e+04","1.1e+05","1.2e+05","1.6e+05","8.1e+04","0.000","0","1.00"
"y.total_actual_chicken_serving_all_athletes_inter_one"," 4.3e+04"," 1.8e+05","2.1e+05","2.6e+05","3.3e+05","3.9e+05","4.4e+05","4.7e+05","6.5e+05","3.2e+05","0.000","0","1.00"
"y.total_actual_chicken_serving_all_athletes_inter_two"," 4.3e+04"," 1.8e+05","2.1e+05","2.6e+05","3.3e+05","3.9e+05","4.4e+05","4.7e+05","6.5e+05","3.2e+05","0.000","0","1.00"
"y.total_pork_serving_all_athletes"," 3.7e+04"," 1.8e+05","2.0e+05","2.6e+05","3.2e+05","3.8e+05","4.4e+05","4.8e+05","6.6e+05","3.2e+05","0.000","0","1.00"
"y.total_pork_serving_per_year_all_athletes1"," 9.2e+03"," 4.4e+04","5.0e+04","6.5e+04","7.9e+04","9.6e+04","1.1e+05","1.2e+05","1.7e+05","8.0e+04","0.000","0","1.00"
"y.total_pork_serving_per_year_all_athletes2"," 9.2e+03"," 4.4e+04","5.0e+04","6.5e+04","7.9e+04","9.5e+04","1.1e+05","1.2e+05","1.7e+05","8.0e+04","0.000","0","1.00"
"y.total_pork_serving_per_year_all_athletes3"," 9.2e+03"," 4.4e+04","5.0e+04","6.5e+04","7.9e+04","9.6e+04","1.1e+05","1.2e+05","1.7e+05","8.0e+04","0.000","0","1.00"
"y.total_pork_serving_per_year_all_athletes4"," 9.2e+03"," 4.4e+04","5.0e+04","6.5e+04","7.9e+04","9.5e+04","1.1e+05","1.2e+05","1.7e+05","8.0e+04","0.000","0","1.00"
"y.total_actual_pork_serving_all_athletes_inter_one"," 3.4e+04"," 1.7e+05","2.0e+05","2.6e+05","3.1e+05","3.8e+05","4.4e+05","4.8e+05","6.6e+05","3.2e+05","0.000","0","1.00"
"y.total_actual_pork_serving_all_athletes_inter_two"," 3.4e+04"," 1.7e+05","2.0e+05","2.6e+05","3.1e+05","3.8e+05","4.4e+05","4.8e+05","6.6e+05","3.2e+05","0.000","0","1.00"
"y.total_beef_serving_all_athletes"," 5.9e+04"," 1.8e+05","2.2e+05","2.6e+05","3.2e+05","3.8e+05","4.3e+05","4.6e+05","5.8e+05","3.2e+05","0.000","0","1.00"
"y.total_beef_serving_per_year_all_athletes1"," 1.5e+04"," 4.5e+04","5.4e+04","6.6e+04","8.1e+04","9.6e+04","1.1e+05","1.1e+05","1.4e+05","8.1e+04","0.000","0","1.00"
"y.total_beef_serving_per_year_all_athletes2"," 1.5e+04"," 4.5e+04","5.4e+04","6.6e+04","8.1e+04","9.6e+04","1.1e+05","1.1e+05","1.4e+05","8.1e+04","0.000","0","1.00"
"y.total_beef_serving_per_year_all_athletes3"," 1.5e+04"," 4.5e+04","5.4e+04","6.6e+04","8.1e+04","9.6e+04","1.1e+05","1.1e+05","1.4e+05","8.1e+04","0.000","0","1.00"
"y.total_beef_serving_per_year_all_athletes4"," 1.5e+04"," 4.5e+04","5.4e+04","6.6e+04","8.1e+04","9.6e+04","1.1e+05","1.1e+05","1.4e+05","8.1e+04","0.000","0","1.00"
"y.total_actual_beef_serving_all_athletes_inter_one"," 4.9e+04"," 1.7e+05","2.0e+05","2.5e+05","3.1e+05","3.7e+05","4.2e+05","4.5e+05","5.7e+05","3.1e+05","0.000","0","1.00"
"y.total_actual_beef_serving_all_athletes_inter_two"," 4.9e+04"," 1.7e+05","2.0e+05","2.5e+05","3.1e+05","3.7e+05","4.2e+05","4.5e+05","5.7e+05","3.1e+05","0.000","0","1.00"
"y.total_fish_serving_all_athletes"," 4.8e+04"," 1.8e+05","2.1e+05","2.6e+05","3.3e+05","3.9e+05","4.5e+05","4.8e+05","5.6e+05","3.3e+05","0.000","0","1.00"
"y.total_fish_serving_per_year_all_athletes1"," 1.2e+04"," 4.4e+04","5.2e+04","6.6e+04","8.2e+04","9.8e+04","1.1e+05","1.2e+05","1.4e+05","8.1e+04","0.000","0","1.00"
"y.total_fish_serving_per_year_all_athletes2"," 1.2e+04"," 4.4e+04","5.2e+04","6.6e+04","8.2e+04","9.8e+04","1.1e+05","1.2e+05","1.4e+05","8.1e+04","0.000","0","1.00"
"y.total_fish_serving_per_year_all_athletes3"," 1.2e+04"," 4.4e+04","5.2e+04","6.6e+04","8.2e+04","9.8e+04","1.1e+05","1.2e+05","1.4e+05","8.1e+04","0.000","0","1.00"
"y.total_fish_serving_per_year_all_athletes4"," 1.2e+04"," 4.4e+04","5.2e+04","6.6e+04","8.2e+04","9.8e+04","1.1e+05","1.2e+05","1.4e+05","8.1e+04","0.000","0","1.00"
"y.total_actual_fish_serving_all_athletes_inter_one"," 3.9e+04"," 1.4e+05","1.7e+05","2.1e+05","2.6e+05","3.2e+05","3.6e+05","3.9e+05","4.7e+05","2.6e+05","0.000","0","1.00"
"y.total_actual_fish_serving_all_athletes_inter_two"," 4.0e+04"," 1.4e+05","1.7e+05","2.1e+05","2.6e+05","3.2e+05","3.6e+05","3.9e+05","4.7e+05","2.6e+05","0.000","0","1.00"
"y.total_prawn_serving_all_athletes"," 9.3e+04"," 1.8e+05","2.1e+05","2.7e+05","3.2e+05","3.8e+05","4.4e+05","4.7e+05","5.8e+05","3.3e+05","0.000","0","1.00"
"y.total_prawn_serving_per_year_all_athletes1"," 2.3e+04"," 4.6e+04","5.3e+04","6.7e+04","8.1e+04","9.6e+04","1.1e+05","1.2e+05","1.4e+05","8.1e+04","0.000","0","1.00"
"y.total_prawn_serving_per_year_all_athletes2"," 2.3e+04"," 4.6e+04","5.3e+04","6.7e+04","8.1e+04","9.6e+04","1.1e+05","1.2e+05","1.4e+05","8.1e+04","0.000","0","1.00"
"y.total_prawn_serving_per_year_all_athletes3"," 2.3e+04"," 4.6e+04","5.3e+04","6.7e+04","8.1e+04","9.6e+04","1.1e+05","1.2e+05","1.4e+05","8.1e+04","0.000","0","1.00"
"y.total_prawn_serving_per_year_all_athletes4"," 2.3e+04"," 4.6e+04","5.3e+04","6.7e+04","8.1e+04","9.6e+04","1.1e+05","1.2e+05","1.4e+05","8.1e+04","0.000","0","1.00"
"y.total_actual_prawn_serving_all_athletes_inter_one"," 9.2e+04"," 1.8e+05","2.1e+05","2.7e+05","3.2e+05","3.8e+05","4.4e+05","4.7e+05","5.7e+05","3.2e+05","0.000","0","1.00"
"y.total_actual_prawn_serving_all_athletes_inter_two"," 9.2e+04"," 1.8e+05","2.1e+05","2.7e+05","3.2e+05","3.8e+05","4.4e+05","4.7e+05","5.7e+05","3.2e+05","0.000","0","1.00"
"y.total_rice_noodle_serving_all_athletes"," 6.3e+03"," 1.1e+05","1.9e+05","3.2e+05","4.7e+05","6.2e+05","7.3e+05","8.3e+05","1.1e+06","4.7e+05","0.000","0","1.00"
"y.total_rice_noodle_serving_per_year_all_athletes1"," 1.6e+03"," 2.8e+04","4.7e+04","7.9e+04","1.2e+05","1.5e+05","1.8e+05","2.1e+05","2.8e+05","1.2e+05","0.000","0","1.00"
"y.total_rice_noodle_serving_per_year_all_athletes2"," 1.6e+03"," 2.8e+04","4.7e+04","7.9e+04","1.2e+05","1.5e+05","1.8e+05","2.1e+05","2.8e+05","1.2e+05","0.000","0","1.00"
"y.total_rice_noodle_serving_per_year_all_athletes3"," 1.6e+03"," 2.8e+04","4.7e+04","7.9e+04","1.2e+05","1.5e+05","1.8e+05","2.1e+05","2.8e+05","1.2e+05","0.000","0","1.00"
"y.total_rice_noodle_serving_per_year_all_athletes4"," 1.6e+03"," 2.8e+04","4.7e+04","7.9e+04","1.2e+05","1.5e+05","1.8e+05","2.1e+05","2.8e+05","1.2e+05","0.000","0","1.00"
"y.total_actual_rice_noodle_serving_all_athletes_inter_one"," 6.3e+03"," 1.1e+05","1.9e+05","3.2e+05","4.7e+05","6.2e+05","7.3e+05","8.3e+05","1.1e+06","4.7e+05","0.000","0","1.00"
"y.total_actual_rice_noodle_serving_all_athletes_inter_two"," 6.3e+03"," 1.1e+05","1.9e+05","3.2e+05","4.7e+05","6.2e+05","7.3e+05","8.3e+05","1.1e+06","4.7e+05","0.000","0","1.00"
"y.total_fat_oil_serving_all_athletes","-5.5e+05"," 2.6e+04","2.0e+05","4.9e+05","8.1e+05","1.1e+06","1.5e+06","1.6e+06","2.2e+06","8.1e+05","0.041","0","0.96"
"y.total_fat_oil_serving_per_year_all_athletes1","-1.4e+05"," 6.5e+03","4.9e+04","1.2e+05","2.0e+05","2.8e+05","3.7e+05","4.0e+05","5.5e+05","2.0e+05","0.041","0","0.96"
"y.total_fat_oil_serving_per_year_all_athletes2","-1.4e+05"," 6.5e+03","4.9e+04","1.2e+05","2.0e+05","2.8e+05","3.7e+05","4.0e+05","5.5e+05","2.0e+05","0.041","0","0.96"
"y.total_fat_oil_serving_per_year_all_athletes3","-1.4e+05"," 6.5e+03","4.9e+04","1.2e+05","2.0e+05","2.8e+05","3.7e+05","4.0e+05","5.5e+05","2.0e+05","0.041","0","0.96"
"y.total_fat_oil_serving_per_year_all_athletes4","-1.4e+05"," 6.5e+03","4.9e+04","1.2e+05","2.0e+05","2.8e+05","3.7e+05","4.0e+05","5.5e+05","2.0e+05","0.041","0","0.96"
"y.total_actual_fat_oil_serving_all_athletes_inter_one","-5.5e+05"," 2.6e+04","2.0e+05","4.9e+05","8.1e+05","1.1e+06","1.5e+06","1.6e+06","2.2e+06","8.1e+05","0.041","0","0.96"
"y.total_actual_fat_oil_serving_all_athletes_inter_two","-5.5e+05"," 2.6e+04","2.0e+05","4.9e+05","8.1e+05","1.1e+06","1.5e+06","1.6e+06","2.2e+06","8.1e+05","0.041","0","0.96"
"y.total_egg_serving_wasted_inter_one","-4.6e+02"," 2.1e+02","4.0e+02","6.6e+02","1.0e+03","1.6e+03","2.3e+03","2.7e+03","5.4e+03","1.2e+03","0.021","0","0.98"
"y.total_yearly_egg_serving_wasted_inter_one1","-2.0e+02"," 8.3e+00","7.4e+01","1.6e+02","2.7e+02","4.1e+02","6.0e+02","6.9e+02","1.5e+03","3.0e+02","0.038","0","0.96"
"y.total_yearly_egg_serving_wasted_inter_one2","-3.3e+02"," 1.7e+01","6.5e+01","1.5e+02","2.6e+02","4.1e+02","5.7e+02","6.9e+02","1.3e+03","3.0e+02","0.035","0","0.96"
"y.total_yearly_egg_serving_wasted_inter_one3","-4.5e+02"," 1.0e+01","7.5e+01","1.6e+02","2.6e+02","4.1e+02","6.0e+02","7.3e+02","1.4e+03","3.0e+02","0.045","0","0.95"
"y.total_yearly_egg_serving_wasted_inter_one4","-2.6e+02"," 5.0e+00","6.4e+01","1.6e+02","2.6e+02","4.2e+02","5.9e+02","7.2e+02","1.3e+03","3.0e+02","0.048","0","0.95"
"y.total_egg_serving_wasted_inter_two","-5.2e+02"," 2.0e+02","3.6e+02","6.4e+02","1.0e+03","1.6e+03","2.3e+03","2.7e+03","5.6e+03","1.2e+03","0.024","0","0.98"
"y.total_yearly_egg_serving_wasted_inter_two1","-2.4e+02"," 1.3e+01","7.8e+01","1.5e+02","2.6e+02","4.1e+02","5.9e+02","7.1e+02","1.4e+03","3.0e+02","0.043","0","0.96"
"y.total_yearly_egg_serving_wasted_inter_two2","-2.7e+02"," 2.0e+00","5.5e+01","1.6e+02","2.5e+02","4.1e+02","5.9e+02","7.2e+02","1.5e+03","3.0e+02","0.047","0","0.95"
"y.total_yearly_egg_serving_wasted_inter_two3","-4.4e+02","-5.4e+00","5.7e+01","1.6e+02","2.6e+02","4.2e+02","5.9e+02","7.2e+02","1.5e+03","3.0e+02","0.054","0","0.95"
"y.total_yearly_egg_serving_wasted_inter_two4","-2.8e+02"," 3.3e+00","6.7e+01","1.5e+02","2.6e+02","4.3e+02","6.0e+02","7.1e+02","1.3e+03","3.0e+02","0.049","0","0.95"
"y.total_dairy_serving_wasted_inter_one","-3.5e+02"," 5.5e+02","7.5e+02","1.2e+03","1.9e+03","2.7e+03","3.7e+03","4.5e+03","8.4e+03","2.1e+03","0.003","0","1.00"
"y.total_yearly_dairy_serving_wasted_inter_one1","-1.7e+02"," 1.1e+02","1.7e+02","2.9e+02","4.7e+02","7.0e+02","9.4e+02","1.1e+03","2.2e+03","5.2e+02","0.005","0","0.99"
"y.total_yearly_dairy_serving_wasted_inter_one2","-1.3e+02"," 1.2e+02","1.7e+02","2.9e+02","4.7e+02","6.9e+02","9.4e+02","1.1e+03","2.1e+03","5.2e+02","0.015","0","0.98"
"y.total_yearly_dairy_serving_wasted_inter_one3","-3.0e+02"," 1.1e+02","1.7e+02","2.9e+02","4.7e+02","7.0e+02","9.5e+02","1.1e+03","2.1e+03","5.3e+02","0.011","0","0.99"
"y.total_yearly_dairy_serving_wasted_inter_one4","-3.0e+02"," 1.1e+02","1.8e+02","3.1e+02","4.8e+02","6.9e+02","9.4e+02","1.1e+03","2.1e+03","5.3e+02","0.010","0","0.99"
"y.total_dairy_serving_wasted_inter_two","-8.6e+01"," 5.8e+02","7.6e+02","1.2e+03","1.9e+03","2.7e+03","3.7e+03","4.4e+03","8.4e+03","2.1e+03","0.001","0","1.00"
"y.total_yearly_dairy_serving_wasted_inter_two1","-1.5e+02"," 1.2e+02","1.7e+02","2.9e+02","4.7e+02","6.9e+02","9.4e+02","1.1e+03","2.1e+03","5.2e+02","0.007","0","0.99"
"y.total_yearly_dairy_serving_wasted_inter_two2","-1.6e+02"," 1.1e+02","1.8e+02","3.0e+02","4.6e+02","6.9e+02","9.3e+02","1.2e+03","2.0e+03","5.2e+02","0.008","0","0.99"
"y.total_yearly_dairy_serving_wasted_inter_two3","-2.8e+02"," 9.7e+01","1.7e+02","3.0e+02","4.8e+02","7.1e+02","9.4e+02","1.1e+03","2.1e+03","5.3e+02","0.011","0","0.99"
"y.total_yearly_dairy_serving_wasted_inter_two4","-2.3e+02"," 1.3e+02","1.8e+02","3.1e+02","4.6e+02","6.9e+02","9.2e+02","1.1e+03","2.1e+03","5.2e+02","0.014","0","0.99"
"y.total_vegetable_mushroom_serving_wasted_inter_one"," 4.2e+04"," 1.4e+05","1.6e+05","1.9e+05","2.4e+05","2.8e+05","3.3e+05","3.6e+05","5.3e+05","2.4e+05","0.000","0","1.00"
"y.total_yearly_vegetable_mushroom_serving_wasted_inter_one1"," 1.1e+04"," 3.5e+04","4.0e+04","4.8e+04","5.9e+04","7.1e+04","8.3e+04","9.1e+04","1.3e+05","6.0e+04","0.000","0","1.00"
"y.total_yearly_vegetable_mushroom_serving_wasted_inter_one2"," 1.1e+04"," 3.6e+04","3.9e+04","4.8e+04","5.9e+04","7.1e+04","8.3e+04","9.1e+04","1.3e+05","6.0e+04","0.000","0","1.00"
"y.total_yearly_vegetable_mushroom_serving_wasted_inter_one3"," 1.1e+04"," 3.6e+04","4.0e+04","4.8e+04","5.9e+04","7.1e+04","8.3e+04","9.1e+04","1.3e+05","6.0e+04","0.000","0","1.00"
"y.total_yearly_vegetable_mushroom_serving_wasted_inter_one4"," 1.1e+04"," 3.5e+04","4.0e+04","4.8e+04","5.9e+04","7.1e+04","8.3e+04","9.1e+04","1.3e+05","6.0e+04","0.000","0","1.00"
"y.total_vegetable_mushroom_serving_wasted_inter_two"," 4.9e+04"," 1.4e+05","1.6e+05","1.9e+05","2.3e+05","2.8e+05","3.4e+05","3.8e+05","5.4e+05","2.4e+05","0.000","0","1.00"
"y.total_yearly_vegetable_mushroom_serving_wasted_inter_two1"," 1.2e+04"," 3.5e+04","3.9e+04","4.7e+04","5.7e+04","7.0e+04","8.5e+04","9.4e+04","1.4e+05","6.0e+04","0.000","0","1.00"
"y.total_yearly_vegetable_mushroom_serving_wasted_inter_two2"," 1.2e+04"," 3.5e+04","3.9e+04","4.7e+04","5.7e+04","7.0e+04","8.5e+04","9.4e+04","1.4e+05","6.0e+04","0.000","0","1.00"
"y.total_yearly_vegetable_mushroom_serving_wasted_inter_two3"," 1.2e+04"," 3.5e+04","3.9e+04","4.7e+04","5.7e+04","7.0e+04","8.5e+04","9.4e+04","1.4e+05","6.0e+04","0.000","0","1.00"
