"","5%","50%","95%","enbPa","elPa","elSq","eol","optimalChoice"
"total_bean_nut_serving_per_year_all_athletes1"," 1.3e+05"," 2.1e+05","2.8e+05"," 2.1e+05","0.0e+00","2.1e+05","0.0e+00","PA"
"total_bean_nut_serving_per_year_all_athletes2"," 1.3e+05"," 2.1e+05","2.8e+05"," 2.1e+05","0.0e+00","2.1e+05","0.0e+00","PA"
"total_bean_nut_serving_per_year_all_athletes3"," 1.3e+05"," 2.1e+05","2.8e+05"," 2.1e+05","0.0e+00","2.1e+05","0.0e+00","PA"
"total_bean_nut_serving_per_year_all_athletes4"," 1.3e+05"," 2.1e+05","2.8e+05"," 2.1e+05","0.0e+00","2.1e+05","0.0e+00","PA"
"total_actual_bean_nut_serving_all_athletes_inter_one"," 4.4e+05"," 6.7e+05","9.1e+05"," 6.7e+05","0.0e+00","6.7e+05","0.0e+00","PA"
"total_actual_bean_nut_serving_all_athletes_inter_two"," 4.4e+05"," 6.7e+05","9.1e+05"," 6.7e+05","0.0e+00","6.7e+05","0.0e+00","PA"
"total_fruit_serving_all_athletes"," 5.7e+05"," 8.3e+05","1.1e+06"," 8.3e+05","0.0e+00","8.3e+05","0.0e+00","PA"
"total_fruit_serving_per_year_all_athletes1"," 1.4e+05"," 2.1e+05","2.8e+05"," 2.1e+05","0.0e+00","2.1e+05","0.0e+00","PA"
"total_fruit_serving_per_year_all_athletes2"," 1.4e+05"," 2.1e+05","2.8e+05"," 2.1e+05","0.0e+00","2.1e+05","0.0e+00","PA"
"total_fruit_serving_per_year_all_athletes3"," 1.4e+05"," 2.1e+05","2.8e+05"," 2.1e+05","0.0e+00","2.1e+05","0.0e+00","PA"
"total_fruit_serving_per_year_all_athletes4"," 1.4e+05"," 2.1e+05","2.8e+05"," 2.1e+05","0.0e+00","2.1e+05","0.0e+00","PA"
"total_actual_fruit_serving_all_athletes_inter_one"," 5.7e+05"," 8.3e+05","1.1e+06"," 8.3e+05","0.0e+00","8.3e+05","0.0e+00","PA"
"total_actual_fruit_serving_all_athletes_inter_two"," 5.7e+05"," 8.3e+05","1.1e+06"," 8.3e+05","0.0e+00","8.3e+05","0.0e+00","PA"
"total_sports_drink_serving_all_athletes"," 3.5e+05"," 6.3e+05","9.4e+05"," 6.4e+05","0.0e+00","6.4e+05","0.0e+00","PA"
"total_sports_drink_serving_per_year_all_athletes1"," 8.7e+04"," 1.6e+05","2.4e+05"," 1.6e+05","0.0e+00","1.6e+05","0.0e+00","PA"
"total_sports_drink_serving_per_year_all_athletes2"," 8.7e+04"," 1.6e+05","2.4e+05"," 1.6e+05","0.0e+00","1.6e+05","0.0e+00","PA"
"total_sports_drink_serving_per_year_all_athletes3"," 8.7e+04"," 1.6e+05","2.4e+05"," 1.6e+05","0.0e+00","1.6e+05","0.0e+00","PA"
"total_sports_drink_serving_per_year_all_athletes4"," 8.7e+04"," 1.6e+05","2.4e+05"," 1.6e+05","0.0e+00","1.6e+05","0.0e+00","PA"
"total_actual_sports_drink_serving_all_athletes_inter_one"," 3.5e+05"," 6.3e+05","9.4e+05"," 6.4e+05","0.0e+00","6.4e+05","0.0e+00","PA"
"total_actual_sports_drink_serving_all_athletes_inter_two"," 3.5e+05"," 6.3e+05","9.4e+05"," 6.4e+05","0.0e+00","6.4e+05","0.0e+00","PA"
"total_chicken_serving_all_athletes"," 1.8e+05"," 3.4e+05","4.9e+05"," 3.3e+05","0.0e+00","3.3e+05","0.0e+00","PA"
"total_chicken_serving_per_year_all_athletes1"," 4.4e+04"," 8.4e+04","1.2e+05"," 8.4e+04","0.0e+00","8.4e+04","0.0e+00","PA"
"total_chicken_serving_per_year_all_athletes2"," 4.4e+04"," 8.4e+04","1.2e+05"," 8.4e+04","0.0e+00","8.4e+04","0.0e+00","PA"
"total_chicken_serving_per_year_all_athletes3"," 4.4e+04"," 8.4e+04","1.2e+05"," 8.4e+04","0.0e+00","8.4e+04","0.0e+00","PA"
"total_chicken_serving_per_year_all_athletes4"," 4.4e+04"," 8.4e+04","1.2e+05"," 8.4e+04","0.0e+00","8.4e+04","0.0e+00","PA"
"total_actual_chicken_serving_all_athletes_inter_one"," 1.8e+05"," 3.4e+05","4.9e+05"," 3.3e+05","0.0e+00","3.3e+05","0.0e+00","PA"
"total_actual_chicken_serving_all_athletes_inter_two"," 1.8e+05"," 3.4e+05","4.9e+05"," 3.3e+05","0.0e+00","3.3e+05","0.0e+00","PA"
"total_pork_serving_all_athletes"," 1.9e+05"," 3.2e+05","4.7e+05"," 3.2e+05","0.0e+00","3.2e+05","0.0e+00","PA"
"total_pork_serving_per_year_all_athletes1"," 4.6e+04"," 8.1e+04","1.2e+05"," 8.1e+04","0.0e+00","8.1e+04","0.0e+00","PA"
"total_pork_serving_per_year_all_athletes2"," 4.6e+04"," 8.1e+04","1.2e+05"," 8.1e+04","0.0e+00","8.1e+04","0.0e+00","PA"
"total_pork_serving_per_year_all_athletes3"," 4.6e+04"," 8.1e+04","1.2e+05"," 8.1e+04","0.0e+00","8.1e+04","0.0e+00","PA"
"total_pork_serving_per_year_all_athletes4"," 4.6e+04"," 8.1e+04","1.2e+05"," 8.1e+04","0.0e+00","8.1e+04","0.0e+00","PA"
"total_actual_pork_serving_all_athletes_inter_one"," 1.8e+05"," 3.2e+05","4.7e+05"," 3.2e+05","0.0e+00","3.2e+05","0.0e+00","PA"
"total_actual_pork_serving_all_athletes_inter_two"," 1.8e+05"," 3.2e+05","4.7e+05"," 3.2e+05","0.0e+00","3.2e+05","0.0e+00","PA"
"total_beef_serving_all_athletes"," 1.8e+05"," 3.4e+05","4.9e+05"," 3.4e+05","0.0e+00","3.4e+05","0.0e+00","PA"
"total_beef_serving_per_year_all_athletes1"," 4.6e+04"," 8.5e+04","1.2e+05"," 8.4e+04","0.0e+00","8.4e+04","0.0e+00","PA"
"total_beef_serving_per_year_all_athletes2"," 4.6e+04"," 8.5e+04","1.2e+05"," 8.4e+04","0.0e+00","8.4e+04","0.0e+00","PA"
"total_beef_serving_per_year_all_athletes3"," 4.6e+04"," 8.5e+04","1.2e+05"," 8.4e+04","0.0e+00","8.4e+04","0.0e+00","PA"
"total_beef_serving_per_year_all_athletes4"," 4.6e+04"," 8.5e+04","1.2e+05"," 8.4e+04","0.0e+00","8.4e+04","0.0e+00","PA"
"total_actual_beef_serving_all_athletes_inter_one"," 1.7e+05"," 3.3e+05","4.7e+05"," 3.3e+05","0.0e+00","3.3e+05","0.0e+00","PA"
"total_actual_beef_serving_all_athletes_inter_two"," 1.7e+05"," 3.3e+05","4.7e+05"," 3.3e+05","0.0e+00","3.3e+05","0.0e+00","PA"
"total_fish_serving_all_athletes"," 1.6e+05"," 3.2e+05","4.8e+05"," 3.2e+05","0.0e+00","3.2e+05","0.0e+00","PA"
"total_fish_serving_per_year_all_athletes1"," 4.0e+04"," 7.9e+04","1.2e+05"," 7.9e+04","0.0e+00","7.9e+04","0.0e+00","PA"
"total_fish_serving_per_year_all_athletes2"," 4.0e+04"," 7.9e+04","1.2e+05"," 7.9e+04","0.0e+00","7.9e+04","0.0e+00","PA"
"total_fish_serving_per_year_all_athletes3"," 4.0e+04"," 7.9e+04","1.2e+05"," 7.9e+04","0.0e+00","7.9e+04","0.0e+00","PA"
"total_fish_serving_per_year_all_athletes4"," 4.0e+04"," 7.9e+04","1.2e+05"," 7.9e+04","0.0e+00","7.9e+04","0.0e+00","PA"
"total_actual_fish_serving_all_athletes_inter_one"," 1.3e+05"," 2.5e+05","3.9e+05"," 2.6e+05","0.0e+00","2.6e+05","0.0e+00","PA"
"total_actual_fish_serving_all_athletes_inter_two"," 1.3e+05"," 2.5e+05","3.9e+05"," 2.6e+05","0.0e+00","2.6e+05","0.0e+00","PA"
"total_prawn_serving_all_athletes"," 1.9e+05"," 3.2e+05","4.7e+05"," 3.3e+05","0.0e+00","3.3e+05","0.0e+00","PA"
"total_prawn_serving_per_year_all_athletes1"," 4.7e+04"," 8.1e+04","1.2e+05"," 8.2e+04","0.0e+00","8.2e+04","0.0e+00","PA"
"total_prawn_serving_per_year_all_athletes2"," 4.7e+04"," 8.1e+04","1.2e+05"," 8.2e+04","0.0e+00","8.2e+04","0.0e+00","PA"
"total_prawn_serving_per_year_all_athletes3"," 4.7e+04"," 8.1e+04","1.2e+05"," 8.2e+04","0.0e+00","8.2e+04","0.0e+00","PA"
"total_prawn_serving_per_year_all_athletes4"," 4.7e+04"," 8.1e+04","1.2e+05"," 8.2e+04","0.0e+00","8.2e+04","0.0e+00","PA"
"total_actual_prawn_serving_all_athletes_inter_one"," 1.8e+05"," 3.2e+05","4.7e+05"," 3.2e+05","0.0e+00","3.2e+05","0.0e+00","PA"
"total_actual_prawn_serving_all_athletes_inter_two"," 1.8e+05"," 3.2e+05","4.7e+05"," 3.2e+05","0.0e+00","3.2e+05","0.0e+00","PA"
"total_rice_noodle_serving_all_athletes"," 1.2e+06"," 2.6e+06","3.9e+06"," 2.6e+06","0.0e+00","2.6e+06","0.0e+00","PA"
"total_rice_noodle_serving_per_year_all_athletes1"," 3.0e+05"," 6.5e+05","9.6e+05"," 6.5e+05","0.0e+00","6.5e+05","0.0e+00","PA"
"total_rice_noodle_serving_per_year_all_athletes2"," 3.0e+05"," 6.5e+05","9.6e+05"," 6.5e+05","0.0e+00","6.5e+05","0.0e+00","PA"
"total_rice_noodle_serving_per_year_all_athletes3"," 3.0e+05"," 6.5e+05","9.6e+05"," 6.5e+05","0.0e+00","6.5e+05","0.0e+00","PA"
"total_rice_noodle_serving_per_year_all_athletes4"," 3.0e+05"," 6.5e+05","9.6e+05"," 6.5e+05","0.0e+00","6.5e+05","0.0e+00","PA"
"total_actual_rice_noodle_serving_all_athletes_inter_one"," 1.2e+06"," 2.6e+06","3.9e+06"," 2.6e+06","0.0e+00","2.6e+06","0.0e+00","PA"
"total_actual_rice_noodle_serving_all_athletes_inter_two"," 1.2e+06"," 2.6e+06","3.9e+06"," 2.6e+06","0.0e+00","2.6e+06","0.0e+00","PA"
"total_fat_oil_serving_all_athletes","-5.7e+06","-6.7e+05","4.3e+06","-6.8e+05","1.6e+06","9.1e+05","9.1e+05","SQ"
"total_fat_oil_serving_per_year_all_athletes1","-1.4e+06","-1.7e+05","1.1e+06","-1.7e+05","4.0e+05","2.3e+05","2.3e+05","SQ"
"total_fat_oil_serving_per_year_all_athletes2","-1.4e+06","-1.7e+05","1.1e+06","-1.7e+05","4.0e+05","2.3e+05","2.3e+05","SQ"
"total_fat_oil_serving_per_year_all_athletes3","-1.4e+06","-1.7e+05","1.1e+06","-1.7e+05","4.0e+05","2.3e+05","2.3e+05","SQ"
"total_fat_oil_serving_per_year_all_athletes4","-1.4e+06","-1.7e+05","1.1e+06","-1.7e+05","4.0e+05","2.3e+05","2.3e+05","SQ"
"total_actual_fat_oil_serving_all_athletes_inter_one","-5.7e+06","-6.7e+05","4.3e+06","-6.8e+05","1.6e+06","9.1e+05","9.1e+05","SQ"
"total_actual_fat_oil_serving_all_athletes_inter_two","-5.7e+06","-6.7e+05","4.3e+06","-6.8e+05","1.6e+06","9.1e+05","9.1e+05","SQ"
"total_egg_serving_wasted_inter_one"," 7.7e+02"," 4.3e+03","1.2e+04"," 5.1e+03","9.5e+00","5.1e+03","9.5e+00","PA"
"total_yearly_egg_serving_wasted_inter_one1"," 1.8e+01"," 1.1e+03","3.0e+03"," 1.3e+03","1.2e+01","1.3e+03","1.2e+01","PA"
"total_yearly_egg_serving_wasted_inter_one2","-1.0e+01"," 1.1e+03","3.0e+03"," 1.3e+03","1.6e+01","1.3e+03","1.6e+01","PA"
"total_yearly_egg_serving_wasted_inter_one3"," 1.7e+01"," 1.1e+03","3.1e+03"," 1.3e+03","1.2e+01","1.3e+03","1.2e+01","PA"
"total_yearly_egg_serving_wasted_inter_one4"," 5.8e+01"," 1.1e+03","3.0e+03"," 1.3e+03","1.1e+01","1.3e+03","1.1e+01","PA"
"total_egg_serving_wasted_inter_two"," 7.7e+02"," 4.3e+03","1.1e+04"," 5.1e+03","1.2e+01","5.1e+03","1.2e+01","PA"
"total_yearly_egg_serving_wasted_inter_two1"," 4.3e+01"," 1.1e+03","3.0e+03"," 1.3e+03","9.4e+00","1.3e+03","9.4e+00","PA"
"total_yearly_egg_serving_wasted_inter_two2","-1.5e+01"," 1.1e+03","3.1e+03"," 1.3e+03","1.5e+01","1.3e+03","1.5e+01","PA"
"total_yearly_egg_serving_wasted_inter_two3"," 3.3e+01"," 1.1e+03","3.1e+03"," 1.3e+03","1.2e+01","1.3e+03","1.2e+01","PA"
"total_yearly_egg_serving_wasted_inter_two4"," 6.4e+01"," 1.1e+03","3.0e+03"," 1.3e+03","9.8e+00","1.3e+03","9.8e+00","PA"
"total_dairy_serving_wasted_inter_one"," 1.1e+03"," 3.9e+03","9.3e+03"," 4.4e+03","9.3e-01","4.4e+03","9.3e-01","PA"
"total_yearly_dairy_serving_wasted_inter_one1"," 2.2e+02"," 9.7e+02","2.3e+03"," 1.1e+03","7.0e-01","1.1e+03","7.0e-01","PA"
"total_yearly_dairy_serving_wasted_inter_one2"," 2.5e+02"," 9.9e+02","2.3e+03"," 1.1e+03","1.8e+00","1.1e+03","1.8e+00","PA"
"total_yearly_dairy_serving_wasted_inter_one3"," 2.6e+02"," 9.7e+02","2.4e+03"," 1.1e+03","1.4e+00","1.1e+03","1.4e+00","PA"
"total_yearly_dairy_serving_wasted_inter_one4"," 2.1e+02"," 9.7e+02","2.3e+03"," 1.1e+03","1.2e+00","1.1e+03","1.2e+00","PA"
"total_dairy_serving_wasted_inter_two"," 1.1e+03"," 3.9e+03","9.3e+03"," 4.4e+03","7.9e-01","4.4e+03","7.9e-01","PA"
"total_yearly_dairy_serving_wasted_inter_two1"," 2.2e+02"," 9.7e+02","2.3e+03"," 1.1e+03","9.3e-01","1.1e+03","9.3e-01","PA"
"total_yearly_dairy_serving_wasted_inter_two2"," 2.3e+02"," 9.8e+02","2.4e+03"," 1.1e+03","1.5e+00","1.1e+03","1.5e+00","PA"
"total_yearly_dairy_serving_wasted_inter_two3"," 2.7e+02"," 9.7e+02","2.4e+03"," 1.1e+03","6.9e-01","1.1e+03","6.9e-01","PA"
"total_yearly_dairy_serving_wasted_inter_two4"," 2.1e+02"," 9.5e+02","2.3e+03"," 1.1e+03","8.2e-01","1.1e+03","8.2e-01","PA"
"total_vegetable_mushroom_serving_wasted_inter_one"," 1.4e+05"," 2.3e+05","3.6e+05"," 2.4e+05","0.0e+00","2.4e+05","0.0e+00","PA"
"total_yearly_vegetable_mushroom_serving_wasted_inter_one1"," 3.5e+04"," 5.8e+04","9.1e+04"," 6.0e+04","0.0e+00","6.0e+04","0.0e+00","PA"
"total_yearly_vegetable_mushroom_serving_wasted_inter_one2"," 3.5e+04"," 5.8e+04","9.1e+04"," 6.0e+04","0.0e+00","6.0e+04","0.0e+00","PA"
"total_yearly_vegetable_mushroom_serving_wasted_inter_one3"," 3.5e+04"," 5.8e+04","9.1e+04"," 6.0e+04","0.0e+00","6.0e+04","0.0e+00","PA"
"total_yearly_vegetable_mushroom_serving_wasted_inter_one4"," 3.5e+04"," 5.8e+04","9.1e+04"," 6.0e+04","0.0e+00","6.0e+04","0.0e+00","PA"
"total_vegetable_mushroom_serving_wasted_inter_two"," 1.4e+05"," 2.3e+05","3.7e+05"," 2.4e+05","0.0e+00","2.4e+05","0.0e+00","PA"
"total_yearly_vegetable_mushroom_serving_wasted_inter_two1"," 3.4e+04"," 5.7e+04","9.4e+04"," 5.9e+04","0.0e+00","5.9e+04","0.0e+00","PA"
"total_yearly_vegetable_mushroom_serving_wasted_inter_two2"," 3.4e+04"," 5.7e+04","9.4e+04"," 5.9e+04","0.0e+00","5.9e+04","0.0e+00","PA"
"total_yearly_vegetable_mushroom_serving_wasted_inter_two3"," 3.4e+04"," 5.7e+04","9.4e+04"," 5.9e+04","0.0e+00","5.9e+04","0.0e+00","PA"
"total_yearly_vegetable_mushroom_serving_wasted_inter_two4"," 3.4e+04"," 5.7e+04","9.4e+04"," 5.9e+04","0.0e+00","5.9e+04","0.0e+00","PA"
"total_bean_nut_serving_wasted_inter_one"," 9.1e+04"," 1.5e+05","2.4e+05"," 1.6e+05","0.0e+00","1.6e+05","0.0e+00","PA"
"total_yearly_bean_nut_serving_wasted_inter_one1"," 2.3e+04"," 3.8e+04","6.0e+04"," 3.9e+04","0.0e+00","3.9e+04","0.0e+00","PA"
"total_yearly_bean_nut_serving_wasted_inter_one2"," 2.3e+04"," 3.8e+04","6.0e+04"," 3.9e+04","0.0e+00","3.9e+04","0.0e+00","PA"
"total_yearly_bean_nut_serving_wasted_inter_one3"," 2.3e+04"," 3.8e+04","6.0e+04"," 3.9e+04","0.0e+00","3.9e+04","0.0e+00","PA"
"total_yearly_bean_nut_serving_wasted_inter_one4"," 2.3e+04"," 3.8e+04","6.0e+04"," 3.9e+04","0.0e+00","3.9e+04","0.0e+00","PA"
"total_bean_nut_serving_wasted_inter_two"," 9.1e+04"," 1.5e+05","2.5e+05"," 1.5e+05","0.0e+00","1.5e+05","0.0e+00","PA"
"total_yearly_bean_nut_serving_wasted_inter_two1"," 2.3e+04"," 3.7e+04","6.2e+04"," 3.9e+04","0.0e+00","3.9e+04","0.0e+00","PA"
"total_yearly_bean_nut_serving_wasted_inter_two2"," 2.3e+04"," 3.7e+04","6.2e+04"," 3.9e+04","0.0e+00","3.9e+04","0.0e+00","PA"
"total_yearly_bean_nut_serving_wasted_inter_two3"," 2.3e+04"," 3.7e+04","6.2e+04"," 3.9e+04","0.0e+00","3.9e+04","0.0e+00","PA"
"total_yearly_bean_nut_serving_wasted_inter_two4"," 2.3e+04"," 3.7e+04","6.2e+04"," 3.9e+04","0.0e+00","3.9e+04","0.0e+00","PA"
"total_pork_serving_wasted_inter_one"," 1.5e+03"," 3.9e+03","7.8e+03"," 4.2e+03","0.0e+00","4.2e+03","0.0e+00","PA"
"total_yearly_pork_serving_wasted_inter_one1"," 3.8e+02"," 9.8e+02","1.9e+03"," 1.0e+03","0.0e+00","1.0e+03","0.0e+00","PA"
"total_yearly_pork_serving_wasted_inter_one2"," 3.9e+02"," 9.8e+02","1.9e+03"," 1.0e+03","4.2e-03","1.0e+03","4.2e-03","PA"
"total_yearly_pork_serving_wasted_inter_one3"," 3.8e+02"," 9.9e+02","2.0e+03"," 1.1e+03","0.0e+00","1.1e+03","0.0e+00","PA"
"total_yearly_pork_serving_wasted_inter_one4"," 3.7e+02"," 9.8e+02","2.0e+03"," 1.1e+03","7.7e-03","1.1e+03","7.7e-03","PA"
"total_pork_serving_wasted_inter_two"," 1.5e+03"," 3.9e+03","7.8e+03"," 4.2e+03","0.0e+00","4.2e+03","0.0e+00","PA"
"total_yearly_pork_serving_wasted_inter_two1"," 3.8e+02"," 9.8e+02","1.9e+03"," 1.0e+03","0.0e+00","1.0e+03","0.0e+00","PA"
"total_yearly_pork_serving_wasted_inter_two2"," 3.9e+02"," 9.7e+02","2.0e+03"," 1.0e+03","1.3e-02","1.0e+03","1.3e-02","PA"
"total_yearly_pork_serving_wasted_inter_two3"," 3.7e+02"," 9.8e+02","2.0e+03"," 1.1e+03","0.0e+00","1.1e+03","0.0e+00","PA"
"total_yearly_pork_serving_wasted_inter_two4"," 3.7e+02"," 9.8e+02","2.0e+03"," 1.1e+03","7.1e-03","1.1e+03","7.1e-03","PA"
"total_beef_serving_wasted_inter_one"," 5.1e+03"," 1.1e+04","2.2e+04"," 1.2e+04","0.0e+00","1.2e+04","0.0e+00","PA"
"total_yearly_beef_serving_wasted_inter_one1"," 1.3e+03"," 2.7e+03","5.4e+03"," 2.9e+03","0.0e+00","2.9e+03","0.0e+00","PA"
"total_yearly_beef_serving_wasted_inter_one2"," 1.3e+03"," 2.7e+03","5.4e+03"," 2.9e+03","0.0e+00","2.9e+03","0.0e+00","PA"
"total_yearly_beef_serving_wasted_inter_one3"," 1.3e+03"," 2.7e+03","5.4e+03"," 2.9e+03","0.0e+00","2.9e+03","0.0e+00","PA"
"total_yearly_beef_serving_wasted_inter_one4"," 1.3e+03"," 2.7e+03","5.4e+03"," 2.9e+03","0.0e+00","2.9e+03","0.0e+00","PA"
"total_beef_serving_wasted_inter_two"," 5.1e+03"," 1.1e+04","2.2e+04"," 1.2e+04","0.0e+00","1.2e+04","0.0e+00","PA"
"total_yearly_beef_serving_wasted_inter_two1"," 1.3e+03"," 2.7e+03","5.4e+03"," 2.9e+03","0.0e+00","2.9e+03","0.0e+00","PA"
"total_yearly_beef_serving_wasted_inter_two2"," 1.3e+03"," 2.7e+03","5.4e+03"," 2.9e+03","0.0e+00","2.9e+03","0.0e+00","PA"
"total_yearly_beef_serving_wasted_inter_two3"," 1.3e+03"," 2.7e+03","5.4e+03"," 2.9e+03","0.0e+00","2.9e+03","0.0e+00","PA"
"total_yearly_beef_serving_wasted_inter_two4"," 1.3e+03"," 2.7e+03","5.4e+03"," 2.9e+03","0.0e+00","2.9e+03","0.0e+00","PA"
"total_fish_serving_wasted_inter_one"," 2.7e+04"," 5.7e+04","9.9e+04"," 6.0e+04","0.0e+00","6.0e+04","0.0e+00","PA"
"total_yearly_fish_serving_wasted_inter_one1"," 6.7e+03"," 1.4e+04","2.5e+04"," 1.5e+04","0.0e+00","1.5e+04","0.0e+00","PA"
"total_yearly_fish_serving_wasted_inter_one2"," 6.7e+03"," 1.4e+04","2.5e+04"," 1.5e+04","0.0e+00","1.5e+04","0.0e+00","PA"
"total_yearly_fish_serving_wasted_inter_one3"," 6.7e+03"," 1.4e+04","2.5e+04"," 1.5e+04","0.0e+00","1.5e+04","0.0e+00","PA"
"total_yearly_fish_serving_wasted_inter_one4"," 6.7e+03"," 1.4e+04","2.5e+04"," 1.5e+04","0.0e+00","1.5e+04","0.0e+00","PA"
"total_fish_serving_wasted_inter_two"," 2.7e+04"," 5.7e+04","1.0e+05"," 5.9e+04","0.0e+00","5.9e+04","0.0e+00","PA"
"total_yearly_fish_serving_wasted_inter_two1"," 6.7e+03"," 1.4e+04","2.5e+04"," 1.5e+04","0.0e+00","1.5e+04","0.0e+00","PA"
"total_yearly_fish_serving_wasted_inter_two2"," 6.6e+03"," 1.4e+04","2.5e+04"," 1.5e+04","0.0e+00","1.5e+04","0.0e+00","PA"
"total_yearly_fish_serving_wasted_inter_two3"," 6.6e+03"," 1.4e+04","2.5e+04"," 1.5e+04","0.0e+00","1.5e+04","0.0e+00","PA"
"total_yearly_fish_serving_wasted_inter_two4"," 6.6e+03"," 1.4e+04","2.5e+04"," 1.5e+04","0.0e+00","1.5e+04","0.0e+00","PA"
"total_prawn_serving_wasted_inter_one"," 8.3e+02"," 2.5e+03","5.2e+03"," 2.6e+03","3.6e-02","2.6e+03","3.6e-02","PA"
"total_yearly_prawn_serving_wasted_inter_one1"," 2.0e+02"," 6.2e+02","1.3e+03"," 6.6e+02","0.0e+00","6.6e+02","0.0e+00","PA"
